"job_id","model","N","N_size","mni_location","mni_size","rho","loading_quality","target_loading","TT","J","mu_alpha","mu_beta","var_alpha","var_beta","cov_ab","tau_un","lambda_un","sd.lambda","nrep","seed"
100,"latent","small",200,"residual","strong",0.15,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
101,"latent","medium",500,"residual","strong",0.15,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
102,"latent","large",800,"residual","strong",0.15,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
103,"latent","small",200,"residual","strong",0.15,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
104,"latent","medium",500,"residual","strong",0.15,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
105,"latent","large",800,"residual","strong",0.15,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
106,"latent","small",200,"residual","strong",0.15,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
107,"latent","medium",500,"residual","strong",0.15,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
108,"latent","large",800,"residual","strong",0.15,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
109,"latent","small",200,"residual","weak",0,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
110,"latent","medium",500,"residual","weak",0,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
111,"latent","large",800,"residual","weak",0,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
112,"latent","small",200,"residual","weak",0,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
113,"latent","medium",500,"residual","weak",0,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
114,"latent","large",800,"residual","weak",0,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
115,"latent","small",200,"residual","weak",0,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
116,"latent","medium",500,"residual","weak",0,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
117,"latent","large",800,"residual","weak",0,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
118,"latent","small",200,"residual","weak",0.15,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
119,"latent","medium",500,"residual","weak",0.15,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
120,"latent","large",800,"residual","weak",0.15,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
121,"latent","small",200,"residual","weak",0.15,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
122,"latent","medium",500,"residual","weak",0.15,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
