"model","TT","J","target_loading","sd.lambda","rho","k1_true","k1_est","k1_diff","k2_true","k2_est","k2_diff","phi11_true","phi11_est","phi11_diff","phi22_true","phi22_est","phi22_diff","phi12_true","phi12_est","phi12_diff","cor12_true","cor12_est","cor12_diff","err_perc","flag"
"sum",3,8,0.4,0,0.15,16,NA,NA,1,NA,NA,64,NA,NA,12.96,NA,NA,11.52,NA,NA,0.4,NA,NA,1,NA
"EC_latent",5,8,0.4,0,0.15,16,15.996541930104,-0.00345806989595587,1,0.995397344575004,-0.00460265542499616,64,63.6908280694866,-0.309171930513429,12.96,12.9374670873826,-0.0225329126173612,11.52,11.5471523812398,0.0271523812397607,0.4,0.402264604411758,0.00226460441175763,0,FALSE
"sum",5,8,0.4,0,0.15,16,15.9965390692461,-0.00346093075393483,1,0.995404668752584,-0.00459533124741551,64,63.7244223721771,-0.275577627822933,12.96,12.9726259438708,0.0126259438708285,11.52,11.5104378400912,-0.00956215990877496,0.4,0.400336273498148,0.000336273498147743,0,FALSE
"EC_latent",3,5,0.6708,0.05,0.15,10,0.998529037718094,-9.00147096228191,0.625,0.123054884690331,-0.501945115309669,25,0.989934321931042,-24.010065678069,5.0625,0.201931366930014,-4.86056863306999,4.5,0.177761449190967,-4.32223855080903,0.4,0.397587295631817,-0.00241270436818336,0,TRUE
"sum",3,5,0.6708,0.05,0.15,10,NA,NA,0.625,NA,NA,25,NA,NA,5.0625,NA,NA,4.5,NA,NA,0.4,NA,NA,1,NA
"EC_latent",5,5,0.6708,0.05,0.15,10,0.997067398734494,-9.00293260126551,0.625,0.12389981929451,-0.50110018070549,25,0.991372619368061,-24.0086273806319,5.0625,0.20144995429467,-4.86105004570533,4.5,0.177452016019425,-4.32254798398057,0.4,0.397080802673602,-0.00291919732639812,0,TRUE
"sum",5,5,0.6708,0.05,0.15,10,9.99857964558018,-0.00142035441981925,0.625,0.621997081251655,-0.00300291874834491,25,25.040510912963,0.0405109129630468,5.0625,5.09854710617456,0.036047106174558,4.5,4.44358027296095,-0.0564197270390547,0.4,0.393267646460596,-0.00673235353940366,0,TRUE
"EC_latent",3,8,0.6708,0.05,0.15,16,16.0018439835152,0.00184398351517956,1,0.992379711124298,-0.00762028887570187,64,63.9927205111927,-0.0072794888072778,12.96,13.0754094366823,0.115409436682258,11.52,11.412095827778,-0.107904172221987,0.4,0.394523134045754,-0.00547686595424624,0,FALSE
"sum",3,8,0.6708,0.05,0.15,16,NA,NA,1,NA,NA,64,NA,NA,12.96,NA,NA,11.52,NA,NA,0.4,NA,NA,1,NA
"EC_latent",5,8,0.6708,0.05,0.15,16,0.98755693099439,-15.0124430690056,1,0.123605780407006,-0.876394219592994,64,0.983322210343795,-63.0166777896562,12.96,0.199835643813053,-12.7601643561869,11.52,0.177301040404067,-11.3426989595959,0.4,0.399969506983828,-3.0493016172195e-05,0,TRUE
"sum",5,8,0.6708,0.05,0.15,16,15.9951516384867,-0.00484836151330725,1,0.995828121470495,-0.00417187852950451,64,63.9645584892193,-0.0354415107806929,12.96,13.0220278677816,0.062027867781568,11.52,11.4371221569546,-0.0828778430454289,0.4,0.396285102478796,-0.00371489752120407,0,FALSE
"EC_latent",3,5,0.4,0.05,0.15,10,10.0062935027286,0.00629350272861373,0.625,0.615900889500201,-0.00909911049979872,25,25.0705831271389,0.0705831271389457,5.0625,5.0619463772354,-0.000553622764599915,4.5,4.43207605401687,-0.0679239459831251,0.4,0.393428861733917,-0.00657113826608263,0,TRUE
"sum",3,5,0.4,0.05,0.15,10,NA,NA,0.625,NA,NA,25,NA,NA,5.0625,NA,NA,4.5,NA,NA,0.4,NA,NA,1,NA
"EC_latent",5,5,0.4,0.05,0.15,10,9.99972049776217,-0.000279502237825469,0.625,0.621592681521002,-0.00340731847899811,25,24.8106027952966,-0.189397204703354,5.0625,5.05090373975804,-0.0115962602419648,4.5,4.53660098684139,0.0366009868413926,0.4,0.405254064250956,0.00525406425095576,0,FALSE
"sum",5,5,0.4,0.05,0.15,10,9.99952963208261,-0.000470367917394299,0.625,0.621684544465632,-0.00331545553436829,25,24.7573105771455,-0.242689422854461,5.0625,5.05954859081995,-0.00295140918005377,4.5,4.54799469064278,0.0479946906427839,0.4,0.406361290644038,0.00636129064403812,0,TRUE
"EC_latent",3,8,0.4,0.05,0.15,16,15.9984249037383,-0.00157509626174956,1,0.996850563495327,-0.00314943650467292,64,63.7318329416825,-0.268167058317481,12.96,12.7474221310396,-0.212577868960359,11.52,11.6562789150983,0.136278915098346,0.4,0.408950310651762,0.00895031065176216,0,TRUE
"sum",3,8,0.4,0.05,0.15,16,NA,NA,1,NA,NA,64,NA,NA,12.96,NA,NA,11.52,NA,NA,0.4,NA,NA,1,NA
"EC_latent",5,8,0.4,0.05,0.15,16,0.993377588638786,-15.0066224113612,1,0.1239116098293,-0.8760883901707,64,0.98789667655569,-63.0121033234443,12.96,0.200780610937885,-12.7592193890621,11.52,0.178016376173531,-11.3419836238265,0.4,0.39970843028643,-0.000291569713569695,0,TRUE
"sum",5,8,0.4,0.05,0.15,16,15.995148343701,-0.00485165629897821,1,0.995733678436251,-0.00426632156374884,64,64.01310152767,0.0131015276700168,12.96,12.9966085378594,0.0366085378593652,11.52,11.4210512395813,-0.0989487604186987,0.4,0.395964841699253,-0.00403515830074724,0,FALSE
